nonstereo_aromatic_smiles,accession,standard_type,pPot_mean,chembl_cid,chembl_tid
Brc1ccc(-n2cc(COc3ccc(C=NNc4c5c(nc6ccccc46)CCCC5)cc3)nn2)cc1,P06276,IC50,7.033389013318065,CHEMBL4526428,CHEMBL1914
Brc1ccc(C=NC2CCN(Cc3ccccc3)C2)cc1,P06276,IC50,5.926281649653877,CHEMBL4794000,CHEMBL1914
Brc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,P06276,IC50,6.120330794367947,CHEMBL4741398,CHEMBL1914
Brc1ccc([N+]2=Cc3ccccc3CC2)cc1,P06276,IC50,4.195860567664649,CHEMBL4779440,CHEMBL1914
Brc1ccc2c(c1)c(OCc1ccc3ccccc3c1)nn2CCN1CCCCC1,P06276,IC50,6.721246399047171,CHEMBL3116301,CHEMBL1914
C#CCCCCCCCCCN(C)C(=O)Oc1cccc2c(CN(C)CCC3CCCCCC3)c[nH]c12,P06276,IC50,8.423313194799004,CHEMBL5394478,CHEMBL1914
C#CCCCN(C)C(=O)Oc1cccc2c(CN(C)CCC3CCCCCC3)c[nH]c12,P06276,IC50,7.910448117113546,CHEMBL5400593,CHEMBL1914
C#CCN(C(=O)Oc1cccc2c(CN(C)CCC3CCCCCC3)c[nH]c12)C(C)C,P06276,IC50,7.094258072608398,CHEMBL5428978,CHEMBL1914
C#CCN(C)C(=O)Oc1ccc2c(CN(C)CCC3CCCCCC3)c[nH]c2c1,P06276,IC50,7.993533957750769,CHEMBL5410208,CHEMBL1914
C#CCN(C)C(=O)Oc1cccc2c(CN(C)CCC3CCCCCC3)c[nH]c12,P06276,IC50,8.11069829749369,CHEMBL5431791,CHEMBL1914
C#CCN(C)C1CCc2c(OC(=O)N(C)CC)cccc21,P06276,IC50,4.826813731587726,CHEMBL1190983_CHEMBL542016,CHEMBL1914
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,P06276,IC50,5.747334228666626,CHEMBL1929421,CHEMBL1914
