nonstereo_aromatic_smiles,accession,standard_type,pPot_mean,chembl_cid,chembl_tid
Brc1ccc(NN=C2C(c3ccccc3)=NN=C2c2ccccc2)cc1,P00918,Kd,9.167491087293763,CHEMBL5193850,CHEMBL205
Brc1ccc2c(c1)Cc1c-2[nH]c2ccccc12,P00918,Kd,6.326058001365912,CHEMBL593667,CHEMBL205
C#CCN(CC#C)CCCCOc1ccc(S(N)(=O)=O)cc1,P00918,Kd,9.356547323513812,CHEMBL4435346,CHEMBL205
C#CCN(CC#C)CCc1ccc(S(N)(=O)=O)cc1,P00918,Kd,8.236572006437063,CHEMBL4566851,CHEMBL205
C#CCN(CC#C)c1ccc(S(N)(=O)=O)cc1,P00918,Kd,5.748361779551788,CHEMBL3402973,CHEMBL205
C#CCN(CC#C)c1nnc(S(N)(=O)=O)s1,P00918,Kd,6.696803942579511,CHEMBL3410761,CHEMBL205
C#CCN1C(=O)c2ccccc2S1(=O)=O,P00918,Kd,6.801342913045577,CHEMBL3125560,CHEMBL205
C#CCNC(=O)c1ccc(S(N)(=O)=O)cc1,P00918,Kd,7.327902142064282,CHEMBL386542,CHEMBL205
C#CCNc1ccc(S(N)(=O)=O)cc1,P00918,Kd,7.015472686656207,CHEMBL4454802,CHEMBL205
C#CCOC(=O)c1ccc(S(N)(=O)=O)cc1,P00918,Kd,7.346787486224656,CHEMBL217569,CHEMBL205
C#CCOc1c(C=NCc2ccc(S(N)(=O)=O)cc2)cccc1OC,P00918,Kd,7.625251653989896,CHEMBL4435171,CHEMBL205
C#CCOc1cc(N(CC)CC)ccc1C=NCc1ccc(S(N)(=O)=O)cc1,P00918,Kd,7.798602875679548,CHEMBL4556773,CHEMBL205
C#CCOc1ccc(Br)cc1C=NCc1ccc(S(N)(=O)=O)cc1,P00918,Kd,7.450996737974212,CHEMBL4476824,CHEMBL205
C#CCOc1ccc(C=NCc2ccc(S(N)(=O)=O)cc2)cc1,P00918,Kd,5.187554597127244,CHEMBL4539044,CHEMBL205
C#CCOc1ccc(C=NCc2ccc(S(N)(=O)=O)cc2)cc1OC,P00918,Kd,6.357832365595055,CHEMBL4514845,CHEMBL205
C#CCOc1ccc(S(N)(=O)=O)cc1,P00918,Kd,7.542118103266008,CHEMBL3402961,CHEMBL205
C#CCOc1ccc([N+](=O)[O-])cc1C=NCc1ccc(S(N)(=O)=O)cc1,P00918,Kd,5.666754301038037,CHEMBL4582534,CHEMBL205
C#CCOc1ccc2ccccc2c1C=NCc1ccc(S(N)(=O)=O)cc1,P00918,Kd,6.511872503752542,CHEMBL4471510,CHEMBL205
C#CCOc1cccc(C=NCc2ccc(S(N)(=O)=O)cc2)c1,P00918,Kd,5.118729496070642,CHEMBL4460516,CHEMBL205
C#CCOc1ccccc1C=NCc1ccc(S(N)(=O)=O)cc1,P00918,Kd,6.082862247243556,CHEMBL4572678,CHEMBL205
C#CCSc1ccc(S(N)(=O)=O)cc1,P00918,Kd,7.530177984021837,CHEMBL4462614,CHEMBL205
C#CCSc1ccncc1S(N)(=O)=O,P00918,Kd,6.96657624451305,CHEMBL1164486,CHEMBL205
C#Cc1cccc(S(N)(=O)=O)c1,P00918,Kd,7.17979854051436,CHEMBL1232090,CHEMBL205
C=C(C)C(=O)OCCOC(=O)C1=C(C)N(CCCCO)C(=S)NC1c1ccc(C)cc1,P00918,Kd,8.3767507096021,CHEMBL5175133,CHEMBL205
C=C(C)C(=O)OCCOC(=O)C1=C(C)N(CCCCO)C(=S)NC1c1ccccc1,P00918,Kd,8.3767507096021,CHEMBL5207753,CHEMBL205
C=C(C)C(=O)OCCOC(=O)C1=C(C)NC(=S)NC1c1ccc(C)cc1,P00918,Kd,7.513853003193427,CHEMBL5191286,CHEMBL205
C=C(C)C1CCC2(COS(N)(=O)=O)CCC3(C)C(CCC4C5(C)CCC(OS(N)(=O)=O)C(C)(C)C5CCC43C)C12,P00918,Kd,7.832682665251823,CHEMBL2113026,CHEMBL205
C=C(C)CNS(=O)(=O)c1ccc(N)cc1,P00918,Kd,5.327163545828602,CHEMBL2333969,CHEMBL205
C=C(Cl)CN(CC(=C)Cl)S(=O)(=O)c1ccc(N)cc1,P00918,Kd,5.301464507437999,CHEMBL2333977,CHEMBL205
C=C(Cl)CNS(=O)(=O)c1ccc(N)cc1,P00918,Kd,5.2860057323393566,CHEMBL2333976,CHEMBL205
C=CCN1C(=O)C(=Nc2ccc(S(N)(=O)=O)cc2)c2ccccc21,P00918,Kd,8.522878745280337,CHEMBL5180751,CHEMBL205
C=CCN1C(=O)c2ccccc2S1(=O)=O,P00918,Kd,7.0655015487564325,CHEMBL3125561,CHEMBL205
C=CCNc1ccc(S(N)(=O)=O)cc1,P00918,Kd,5.63039196155737,CHEMBL2333964,CHEMBL205
C=CCNc1ccncc1S(N)(=O)=O,P00918,Kd,6.876148359032914,CHEMBL1164966,CHEMBL205
C=CCOC(=O)C1=C(C)N(CC(C)O)C(=S)NC1c1ccc(N(C)C)cc1,P00918,Kd,8.3767507096021,CHEMBL5196687,CHEMBL205
